2024-06-23 16:06:398 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (7e229d578e91b896d1e4ff9e8764047f)] -> link text: Desktops]
2024-06-23 16:06:588 INFO  DesktopsPage :139 - Sort Name (Z-A) By Position NameZtoA[[ChromeDriver: chrome on windows (7e229d578e91b896d1e4ff9e8764047f)] -> xpath: //select[@id='input-sort']]
2024-06-23 16:06:744 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 16:06:41 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (4e28e14321d02f300f736fc0575b6ca3)] -> link text: Desktops]
2024-06-23 16:06:549 INFO  TopMenuPage :65 - get text desktops [[ChromeDriver: chrome on windows (4e28e14321d02f300f736fc0575b6ca3)] -> link text: Desktops]
2024-06-23 18:06:430 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:02 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (9776c5ecbffc919324b503c217941cbc)] -> link text: Desktops]
2024-06-23 18:06:116 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (9776c5ecbffc919324b503c217941cbc)] -> xpath: //select[@id='input-sort']]
2024-06-23 18:06:199 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:173 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (efe6332231703b49188d6e7458b75a75)] -> link text: Desktops]
2024-06-23 18:06:332 INFO  TopMenuPage :65 - get text desktops [[ChromeDriver: chrome on windows (efe6332231703b49188d6e7458b75a75)] -> link text: Desktops]
2024-06-23 18:06:123 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:506 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (a97d0d7bdb0ae59c5a9e33b68a019920)] -> link text: Desktops]
2024-06-23 18:06:539 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (a97d0d7bdb0ae59c5a9e33b68a019920)] -> xpath: //select[@id='input-sort']]
2024-06-23 18:06:376 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:933 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (27e505ded3c66db69f9f85be264592d3)] -> link text: Desktops]
2024-06-23 18:06:526 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (27e505ded3c66db69f9f85be264592d3)] -> xpath: //select[@id='input-sort']]
2024-06-23 18:06:595 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:278 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (0dff89cbfd2ab7c284523721af5190c4)] -> link text: Desktops]
2024-06-23 18:06:267 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (0dff89cbfd2ab7c284523721af5190c4)] -> xpath: //select[@id='input-sort']]
2024-06-23 18:06:178 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:65 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (9c641d4b41e3f1166cd1e4034ff49c1a)] -> link text: Desktops]
2024-06-23 18:06:219 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (9c641d4b41e3f1166cd1e4034ff49c1a)] -> xpath: //select[@id='input-sort']]
2024-06-23 18:06:462 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:558 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (94dbad4878e2426c6c81ec23452fade8)] -> link text: Desktops]
2024-06-23 18:06:230 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 18:06:855 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:842 INFO  TopMenuPage :60 - click on desktop [[ChromeDriver: chrome on windows (ae5b611a2e4584da9509ad95672ebacb)] -> link text: Desktops]
2024-06-23 18:06:178 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 18:06:670 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:934 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 18:06:223 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:658 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoA[[ChromeDriver: chrome on windows (b87cf4bbecbd3701ece04d60bb6dcf03)] -> xpath: //select[@id='input-sort']]
2024-06-23 18:06:538 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:454 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 18:06:17 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:167 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-23 18:06:48 INFO  DesktopsPage :139 - Sort Name (Z - A) By Position NameZtoAProxy element for: DefaultElementLocator 'By.xpath: //select[@id='input-sort']'
2024-06-23 18:06:774 INFO  ManageBrowser :32 - Chrome Browser Launch.....
